Model;Optimizer;Loss function;Epoch;Batch size
Chain(Dense(2 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
Chain(Dense(2 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1, tanh), Dense(1 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 8, tanh), Dense(8 => 8, tanh), Dense(8 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 50, tanh), Dense(50 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
