Index;Max. R-Score;Epoch of max R-Score
1.0;-0.21969629110656785;24.0
2.0;-0.24070653421062893;99.0
3.0;0.032236108167238875;6.0
4.0;-2.012512013361878;1.0
5.0;-0.05819227527878845;40.0
6.0;-0.10259459226697976;101.0
7.0;-0.7730393716520754;1.0
8.0;-1.5316392860005874;69.0
9.0;-0.8477573263512963;69.0
10.0;-1.5027590001059465;140.0
11.0;-0.06897597439235259;20.0
12.0;0.032169568387330316;93.0
13.0;0.0076197727571000184;1.0
14.0;-1.8285879981954554;9.0
15.0;-0.8477573263512963;69.0
16.0;-1.5027590001059465;140.0
17.0;-0.9871909151504168;140.0
18.0;-1.7135335445825004;3.0
19.0;-0.1596961987582759;148.0
20.0;-0.13263126308830553;6.0
21.0;0.006590675829869497;6.0
22.0;-0.4447064655920161;2.0
23.0;0.002586981251981535;133.0
24.0;-0.0018928862238678512;125.0
25.0;-0.1290560972421062;1.0
26.0;-0.3556202315537935;40.0
27.0;-0.33992030019922836;40.0
28.0;-0.36647725201135994;40.0
29.0;-0.15229168777061086;47.0
30.0;-0.1123084020550289;20.0
31.0;-0.0021077884252591605;1.0
32.0;-0.39429702133603484;4.0
33.0;-0.3573576003174628;40.0
34.0;-0.3728621508460379;40.0
35.0;-0.33479856917800355;117.0
36.0;-0.35777110898952413;94.0
37.0;-0.10610356625747919;142.0
38.0;-0.09990397324859912;81.0
39.0;-0.02238420625822446;2.0
40.0;-0.4266164350495134;39.0
41.0;0.0025551428959331712;107.0
42.0;-0.018620590816394333;78.0
43.0;-0.11216525346732809;1.0
44.0;-0.2564101175878455;125.0
45.0;-0.27295293348561955;3.0
46.0;-0.2803975539272894;145.0
47.0;-0.05448605958399311;79.0
48.0;-0.01350823215104513;40.0
49.0;-0.0949604942616884;1.0
50.0;-0.3159944237354948;124.0
51.0;-0.27580760649566405;3.0
52.0;-0.2883813066360861;46.0
53.0;-0.17554709031059135;147.0
54.0;-0.20138230736760288;1.0
55.0;-0.09286784217485233;131.0
56.0;-0.034798453056204215;16.0
57.0;-0.037632318220456096;1.0
58.0;-0.014471687011202938;117.0
59.0;-0.1733148244452254;4.0
60.0;-0.18102899879767742;35.0
61.0;-0.024310950957489696;98.0
62.0;-0.013520081220275149;134.0
63.0;-0.02142575088494647;7.0
64.0;-0.04376250471792131;62.0
